Epoch,ReplayMemoryFill,TotalSteps,%IoU>0.6,AvgFinalIoU,stdfinalIou,NbForcedTrigger,%TriggersQNet,%QNetTriggersIoU>0.6,%QNetActionsImprovedIoU,AvgActionsPerDetection,stdnbaction
1,49921,49921,99.97,0.7084,0.0943,4,0.00,0.00,0.00,4.11,4.80
2,112891,112891,95.78,0.6949,0.1169,33,5.50,27.82,22.21,5.21,6.76
3,218279,218279,86.47,0.6546,0.1791,533,12.66,26.55,15.29,8.70,12.71
4,276748,276748,70.66,0.6388,0.1885,175,53.48,47.77,33.71,4.84,7.97
5,347506,347506,72.57,0.6505,0.1814,219,61.69,58.34,40.11,5.85,9.13
6,461919,461919,70.89,0.6483,0.1966,772,69.10,66.31,40.38,9.49,13.92
7,500000,579009,72.51,0.6552,0.1907,767,68.90,68.49,41.77,9.68,13.87
8,500000,695805,75.77,0.6665,0.1878,802,67.36,72.83,42.67,9.67,13.92
9,500000,806184,77.28,0.6708,0.1836,721,70.22,75.35,43.52,9.12,13.43
10,500000,906499,78.48,0.6781,0.1783,604,72.75,76.68,45.76,8.31,12.64
11,500000,1001794,78.38,0.6791,0.1786,517,74.99,76.41,45.78,7.88,12.00
12,500000,1092639,79.59,0.6837,0.1733,473,75.75,77.83,46.90,7.51,11.61
13,500000,1184406,80.03,0.6831,0.1765,466,76.18,78.40,47.18,7.56,11.58
14,500000,1272087,81.44,0.6899,0.1705,412,76.83,79.81,47.36,7.25,11.16
15,500000,1356212,81.64,0.6919,0.1706,373,77.55,79.96,47.71,6.96,10.74
16,500000,1438006,82.16,0.6945,0.1667,359,77.59,80.37,48.68,6.77,10.56
17,500000,1525384,82.98,0.6949,0.1683,413,78.27,82.10,48.35,7.22,11.00
18,500000,1615245,82.53,0.6956,0.1710,460,79.74,82.37,47.72,7.44,11.50
19,500000,1706800,83.04,0.6990,0.1669,447,80.37,82.83,48.23,7.57,11.54
20,500000,1799031,82.97,0.7008,0.1664,497,81.68,83.40,48.81,7.64,11.69
21,500000,1895069,83.16,0.7016,0.1672,604,83.15,84.65,48.27,7.93,12.41
22,500000,1996011,83.64,0.7054,0.1657,654,82.72,85.23,48.03,8.35,12.75
23,500000,2102288,82.15,0.6996,0.1747,822,84.67,85.05,47.09,8.78,13.57
24,500000,2215946,82.04,0.7008,0.1738,1004,84.86,85.94,46.23,9.41,14.47
25,500000,2333132,82.38,0.7049,0.1686,1193,86.35,86.75,46.82,9.72,15.10
26,500000,2455289,81.41,0.7024,0.1756,1292,85.56,86.73,45.56,10.09,15.50
27,500000,2575241,82.64,0.7057,0.1736,1247,86.00,87.53,46.77,9.89,15.31
28,500000,2694345,82.39,0.7072,0.1715,1252,85.89,87.35,46.55,9.89,15.33
29,500000,2814695,82.44,0.7071,0.1730,1259,85.89,87.26,46.84,9.94,15.33
30,500000,2936122,83.17,0.7098,0.1703,1233,85.35,87.63,46.58,10.08,15.28
31,500000,3055845,83.21,0.7091,0.1712,1212,86.03,87.80,46.87,9.90,15.12
32,500000,3171896,83.07,0.7104,0.1715,1157,86.46,87.23,47.40,9.60,14.81
33,500000,3290055,83.25,0.7101,0.1721,1208,86.11,88.03,46.93,9.77,15.08
34,500000,3410213,82.78,0.7085,0.1730,1218,85.97,87.06,47.81,9.90,15.04
35,500000,3521336,83.35,0.7130,0.1694,1060,87.46,87.16,47.65,9.19,14.28
36,500000,3631164,83.88,0.7149,0.1691,1041,87.45,87.78,48.28,9.09,14.21
37,500000,3747324,84.04,0.7155,0.1698,1136,86.50,87.99,47.72,9.61,14.68
38,500000,3860688,84.19,0.7174,0.1695,1072,87.02,87.90,48.93,9.37,14.35
39,500000,3971401,84.55,0.7186,0.1671,1023,87.47,88.08,48.55,9.20,14.15
40,500000,4088786,84.28,0.7171,0.1717,1172,86.47,88.35,48.51,9.69,14.81
41,500000,4206205,84.23,0.7169,0.1697,1149,86.22,88.21,47.94,9.70,14.73
42,500000,4324773,83.92,0.7160,0.1723,1145,86.28,87.90,47.81,9.78,14.74
43,500000,4440198,84.56,0.7159,0.1694,1079,87.02,88.07,48.32,9.54,14.36
44,500000,4551823,84.40,0.7188,0.1685,1038,87.65,87.95,48.85,9.24,14.16
