Epoch,ReplayMemoryFill,TotalSteps,%IoU>0.6,AvgFinalIoU,StdFinalIoU,NbForcedTrigger,%TriggersQNet,%QNetTriggersIoU>0.6,%QNetActionsImprovedIoU,AvgActionsPerDetection,StdActionsPerDetection
1,49630,49630,99.98,0.7100,0.0953,3,0.00,0.00,0.00,4.11,4.88
2,90548,90548,79.87,0.6649,0.1526,3,33.59,40.14,24.12,3.40,3.89
1,49633,49633,99.97,0.7092,0.0951,4,0.00,0.00,0.00,4.10,4.71
2,94660,94660,88.39,0.6833,0.1357,4,18.78,38.35,20.71,3.72,4.35
3,140475,140475,85.45,0.6819,0.1329,7,28.20,48.59,30.26,3.80,4.59
4,187001,187001,82.15,0.6750,0.1378,11,37.51,52.67,33.77,3.85,4.84
5,238718,238718,83.66,0.6791,0.1402,28,36.59,55.97,39.42,4.29,5.55
6,295506,295506,89.84,0.6956,0.1320,30,31.07,68.07,47.11,4.71,5.83
7,351946,351946,85.84,0.6882,0.1453,24,41.52,66.37,48.31,4.66,5.67
8,420535,420535,87.02,0.6889,0.1526,121,36.66,67.10,47.67,5.67,7.60
9,500000,505777,90.93,0.7032,0.1554,198,31.30,75.97,49.38,7.05,8.94
10,500000,601758,89.34,0.7036,0.1672,284,40.76,79.26,49.60,7.92,10.25
11,500000,700194,85.83,0.7011,0.1841,323,55.83,79.16,49.68,8.11,10.63
12,500000,800289,82.41,0.6971,0.1905,332,70.56,78.55,50.01,8.29,10.68
13,500000,894807,83.41,0.7035,0.1888,273,72.28,80.02,50.24,7.82,9.98
14,500000,994164,85.47,0.7081,0.1890,291,70.80,82.45,50.19,8.20,10.25
15,500000,1095338,85.54,0.7089,0.1857,282,70.21,82.35,50.22,8.36,10.30
16,500000,1196151,85.66,0.7105,0.1847,267,69.44,82.19,50.85,8.34,10.10
17,500000,1296329,84.65,0.7085,0.1869,273,71.32,81.32,50.69,8.26,10.02
18,500000,1396028,84.80,0.7083,0.1856,256,70.76,81.22,51.28,8.21,9.94
19,500000,1494955,84.96,0.7083,0.1849,209,71.54,81.19,50.65,8.17,9.68
20,500000,1589156,85.69,0.7113,0.1838,198,71.93,82.18,51.34,7.78,9.13
21,500000,1683128,84.83,0.7097,0.1804,166,71.79,80.65,51.54,7.78,8.88
22,500000,1773177,84.88,0.7102,0.1843,139,72.76,80.76,52.32,7.44,8.45
23,500000,1862584,85.23,0.7116,0.1814,159,72.97,81.45,52.17,7.39,8.60
24,500000,1954474,85.10,0.7102,0.1837,163,72.07,80.99,52.19,7.60,8.84
25,500000,2047976,85.07,0.7117,0.1804,169,72.74,81.29,52.04,7.73,9.07
26,500000,2141486,85.35,0.7127,0.1811,180,71.25,81.39,52.06,7.74,9.07
27,500000,2237209,86.01,0.7123,0.1798,186,69.77,81.76,51.85,7.93,9.24
28,500000,2334314,85.50,0.7130,0.1815,193,70.33,81.42,51.73,8.04,9.52
29,500000,2430752,85.00,0.7095,0.1846,190,71.23,80.90,51.75,7.97,9.43
30,500000,2530060,85.75,0.7142,0.1791,221,69.50,81.85,51.44,8.22,9.76
31,500000,2636096,84.27,0.7116,0.1876,308,78.87,82.51,50.04,8.79,10.59
32,500000,2742574,84.80,0.7159,0.1842,306,80.31,83.63,50.08,8.85,10.52
33,500000,2855092,84.59,0.7128,0.1868,350,79.92,83.44,50.19,9.31,10.99
34,500000,2968090,84.23,0.7133,0.1881,400,80.27,83.50,49.59,9.35,11.28
35,500000,3077231,84.23,0.7128,0.1880,323,81.81,83.30,49.43,9.05,10.78
36,500000,3196211,83.46,0.7091,0.1892,457,81.47,82.99,49.35,9.82,11.82
37,500000,3315385,83.72,0.7124,0.1868,469,82.32,83.54,48.98,9.86,11.93
38,500000,3438101,83.20,0.7101,0.1909,538,82.53,83.82,48.37,10.17,12.36
39,500000,3562787,82.62,0.7083,0.1927,538,83.08,83.06,48.93,10.30,12.31
40,500000,3683268,82.82,0.7095,0.1920,534,84.79,83.13,49.79,9.94,11.99
41,500000,3808766,82.87,0.7109,0.1902,619,84.37,83.55,49.36,10.39,12.60
