Epoch,ReplayMemoryFill,TotalSteps,%IoU>0.6,AvgFinalIoU,NbForcedTrigger,%TriggersQNet,%QNetTriggersIoU>0.6,%QNetActionsImprovedIoU,AvgActionsPerDetection
1,100093,100093,99.95,0.7094,12,0.00,0.00,0.00,4.14
2,180239,180239,76.69,0.6533,3,35.72,34.77,19.16,3.31
3,291931,291931,76.79,0.6592,82,43.02,46.81,31.08,4.62
4,500000,503042,86.85,0.6730,726,19.16,46.35,39.76,8.73
5,500000,825458,86.19,0.6659,2267,13.77,63.67,44.34,13.33
6,500000,1336441,75.07,0.6391,5551,24.56,82.58,48.12,21.13
7,500000,1826846,77.86,0.6526,5116,24.70,86.73,48.61,20.28
8,500000,2281060,79.57,0.6634,4433,29.98,85.95,49.22,18.78
9,500000,2728719,79.54,0.6668,4219,31.03,83.68,49.47,18.51
10,500000,3156204,80.05,0.6703,3853,34.27,83.00,49.66,17.68
11,500000,3574936,80.33,0.6743,3588,36.39,81.70,49.97,17.31
